sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
10.0,0,0.05,1.0,0.1481,0.09041,0.05814,0.03416,0.01081,0.00778,0.20004,0.12038,0.07554,0.04291,0.01237,0.00849,1474.267,1477.946,1316.414,936.41,209.306,72.534,218.346,133.623,76.535,31.986,2.263,0.564,76.563,44.296,22.912,8.199,0.327,0.052,0.813
12.5,0,0.05,1.0,0.14947,0.0912,0.05862,0.03443,0.0109,0.00785,0.20146,0.12119,0.07603,0.04319,0.01246,0.00857,1458.456,1462.949,1303.738,927.759,207.432,71.866,217.992,133.415,76.427,31.942,2.261,0.564,75.831,43.878,22.701,8.125,0.324,0.052,0.896
15.0,0,0.05,1.0,0.15116,0.09217,0.05922,0.03477,0.01101,0.00792,0.20323,0.12219,0.07664,0.04353,0.01257,0.00864,1439.202,1444.681,1288.296,917.221,205.149,71.054,217.553,133.158,76.293,31.889,2.258,0.563,74.939,43.369,22.445,8.036,0.321,0.051,0.968
17.5,0,0.05,1.0,0.15321,0.09335,0.05994,0.03517,0.01113,0.00802,0.20537,0.1234,0.07737,0.04394,0.0127,0.00875,1416.547,1423.182,1270.119,904.815,202.462,70.097,217.026,132.849,76.131,31.824,2.254,0.562,73.889,42.769,22.143,7.93,0.317,0.051,1.013
20.0,0,0.05,1.0,0.15563,0.09473,0.06079,0.03565,0.01129,0.00813,0.2079,0.12482,0.07824,0.04442,0.01285,0.00886,1390.541,1398.495,1249.244,890.567,199.375,68.999,216.408,132.486,75.942,31.748,2.25,0.561,72.683,42.081,21.797,7.809,0.312,0.05,1.097
22.5,0,0.05,1.0,0.15845,0.09635,0.06178,0.0362,0.01146,0.00826,0.21085,0.12649,0.07924,0.04498,0.01303,0.00899,1361.242,1370.672,1225.713,874.506,195.895,67.76,215.693,132.065,75.723,31.66,2.245,0.56,71.324,41.305,21.406,7.672,0.307,0.049,1.177
25.0,0,0.05,1.0,0.16172,0.09821,0.06292,0.03684,0.01166,0.00842,0.21426,0.1284,0.0804,0.04562,0.01323,0.00914,1328.716,1339.771,1199.572,856.662,192.028,66.385,214.874,131.585,75.472,31.559,2.239,0.559,69.813,40.443,20.972,7.52,0.301,0.048,1.231
27.5,0,0.05,1.0,0.16546,0.10035,0.06421,0.03757,0.01189,0.00859,0.21817,0.13059,0.08172,0.04635,0.01346,0.00931,1293.038,1305.858,1170.874,837.071,187.783,64.875,213.946,131.038,75.187,31.445,2.233,0.557,68.155,39.496,20.495,7.353,0.294,0.047,1.398
30.0,0,0.05,1.0,0.16974,0.10278,0.06569,0.03839,0.01215,0.00878,0.22264,0.13309,0.08322,0.04718,0.01372,0.0095,1254.288,1269.003,1139.678,815.772,183.166,63.234,212.899,130.422,74.866,31.316,2.226,0.555,66.353,38.466,19.977,7.171,0.287,0.046,1.409
32.5,0,0.05,1.0,0.17461,0.10553,0.06736,0.03932,0.01245,0.009,0.22773,0.13592,0.08492,0.04812,0.01401,0.00971,1212.557,1229.286,1106.046,792.808,178.189,61.464,211.723,129.73,74.505,31.171,2.218,0.553,64.41,37.355,19.417,6.976,0.279,0.044,1.432
35.0,0,0.05,1.0,0.18015,0.10866,0.06925,0.04036,0.01277,0.00925,0.23352,0.13913,0.08684,0.04917,0.01434,0.00997,1167.945,1186.794,1070.048,768.224,172.859,59.57,210.408,128.956,74.101,31.009,2.208,0.551,62.33,36.167,18.818,6.766,0.271,0.043,1.524
37.5,0,0.05,1.0,0.18646,0.1122,0.07138,0.04154,0.01315,0.00954,0.24011,0.14277,0.089,0.05036,0.01471,0.01027,1120.558,1141.618,1031.758,742.071,167.187,57.556,208.94,128.091,73.65,30.829,2.198,0.549,60.117,34.901,18.181,6.543,0.262,0.042,1.58
40.0,0,0.05,1.0,0.19365,0.11622,0.07379,0.04287,0.01356,0.00985,0.24762,0.1469,0.09145,0.0517,0.01513,0.01057,1070.516,1093.861,991.254,714.4,161.186,55.425,207.303,127.126,73.148,30.629,2.186,0.546,57.777,33.563,17.507,6.307,0.253,0.04,1.596
42.5,0,0.05,1.0,0.20186,0.12078,0.07652,0.04437,0.01403,0.01021,0.25619,0.15159,0.09423,0.05321,0.0156,0.01092,1017.945,1043.629,948.623,685.268,154.866,53.183,205.478,126.052,72.59,30.407,2.173,0.543,55.313,32.153,16.796,6.058,0.243,0.038,1.653
45.0,0,0.05,1.0,0.21126,0.12598,0.07962,0.04607,0.01456,0.0106,0.26602,0.15694,0.09737,0.05492,0.01613,0.01133,962.985,991.041,903.953,654.734,148.24,50.833,203.445,124.855,71.969,30.161,2.158,0.539,52.732,30.675,16.051,5.798,0.233,0.037,1.71
47.5,0,0.05,1.0,0.2221,0.13194,0.08314,0.04799,0.01516,0.01106,0.27735,0.16305,0.10095,0.05686,0.01673,0.01178,905.787,936.22,857.342,622.863,141.321,48.381,201.177,123.521,71.279,29.889,2.142,0.535,50.04,29.132,15.273,5.525,0.222,0.035,1.747
50.0,0,0.05,1.0,0.23466,0.13878,0.08717,0.05017,0.01583,0.01156,0.29046,0.17009,0.10505,0.05906,0.0174,0.01228,846.519,879.305,808.892,589.718,134.124,45.833,198.643,122.032,70.512,29.588,2.123,0.53,47.241,27.527,14.463,5.242,0.211,0.033,1.803
52.5,0,0.05,1.0,0.24932,0.14671,0.09181,0.05268,0.0166,0.01215,0.30578,0.17823,0.10977,0.06159,0.01817,0.01287,785.363,820.44,758.712,555.371,126.662,43.193,195.807,120.367,69.658,29.255,2.103,0.525,44.344,25.863,13.623,4.948,0.199,0.031,1.846
55.0,0,0.05,1.0,0.2666,0.15597,0.09719,0.05556,0.01749,0.01282,0.32383,0.18774,0.11523,0.0645,0.01906,0.01354,722.523,759.787,706.918,519.895,118.951,40.468,192.622,118.501,68.706,28.887,2.08,0.519,41.355,24.145,12.755,4.645,0.187,0.029,1.872
57.5,0,0.05,1.0,0.28718,0.16688,0.10348,0.05892,0.0185,0.01359,0.34534,0.19896,0.12163,0.06788,0.02008,0.01431,658.228,697.523,653.634,483.368,111.007,37.664,189.032,116.403,67.641,28.48,2.054,0.512,38.282,22.377,11.861,4.332,0.175,0.027,1.89
60.0,0,0.05,1.0,0.31205,0.17991,0.11093,0.06286,0.01969,0.01449,0.37133,0.21235,0.1292,0.07186,0.02127,0.01521,592.741,633.846,598.998,445.871,102.845,34.787,184.967,114.034,66.449,28.029,2.025,0.504,35.134,20.562,10.943,4.01,0.162,0.025,1.909
62.5,0,0.05,1.0,0.34261,0.19569,0.11986,0.06755,0.02108,0.01554,0.40325,0.22857,0.13828,0.07659,0.02266,0.01627,526.366,568.98,543.156,407.491,94.485,31.845,180.338,111.343,65.105,27.528,1.992,0.495,31.921,18.706,10.002,3.681,0.149,0.023,1.922
65.0,0,0.05,1.0,0.38094,0.21516,0.13076,0.07323,0.02275,0.01678,0.4433,0.24857,0.14935,0.08231,0.02433,0.01751,459.469,503.189,486.275,368.321,85.942,28.846,175.028,108.267,63.585,26.971,1.955,0.484,28.654,16.813,9.041,3.345,0.136,0.021,1.962
67.5,0,0.05,1.0,0.43028,0.23974,0.14433,0.08021,0.02477,0.0183,0.49486,0.27383,0.16314,0.08935,0.02636,0.01903,392.494,436.786,428.545,328.464,77.238,25.797,168.883,104.716,61.85,26.347,1.913,0.472,25.346,14.891,8.062,3.002,0.123,0.019,2.001
70.0,0,0.05,1.0,0.49598,0.2717,0.16167,0.08904,0.02727,0.02012,0.56351,0.30668,0.18077,0.09825,0.02886,0.02087,326.01,370.167,370.193,288.031,68.392,22.709,161.694,100.574,59.85,25.646,1.865,0.457,22.015,12.947,7.069,2.654,0.109,0.017,1.987
72.5,0,0.05,1.0,0.58739,0.31485,0.18462,0.10054,0.03044,0.02241,0.65902,0.35102,0.20409,0.10985,0.03204,0.02312,260.761,303.849,311.502,247.154,59.426,19.592,153.168,95.666,57.509,24.848,1.809,0.439,18.68,10.99,6.065,2.301,0.095,0.014,2.072
75.0,0,0.05,1.0,0.72249,0.37618,0.21638,0.11614,0.03463,0.0254,0.80021,0.41405,0.23637,0.12558,0.03623,0.02613,197.77,238.545,252.851,205.988,50.366,16.458,142.887,89.736,54.713,23.924,1.744,0.418,15.37,9.033,5.054,1.944,0.081,0.012,2.06
77.5,0,0.05,1.0,0.94022,0.46993,0.26324,0.13859,0.04045,0.0295,1.02775,0.5104,0.28399,0.14822,0.04207,0.03025,138.508,175.312,194.789,164.742,41.24,13.323,130.228,82.385,51.277,22.832,1.668,0.393,12.123,7.094,4.042,1.586,0.067,0.01,1.99
80.0,0,0.05,1.0,1.34136,0.62986,0.33915,0.17361,0.04906,0.03535,1.44698,0.67476,0.36113,0.18353,0.05068,0.03614,85.173,115.829,138.199,123.718,32.086,10.211,114.248,72.956,46.87,21.479,1.574,0.361,8.996,5.201,3.038,1.227,0.052,0.008,2.039
