sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
10.0,0,0.05,1.0,0.14464,0.08941,0.05935,0.03127,0.01105,0.00777,0.19531,0.11899,0.07722,0.039,0.0127,0.00849,1488.916,1487.051,1341.491,889.249,226.848,74.897,215.352,132.95,79.611,27.81,2.507,0.582,75.442,43.996,23.976,6.872,0.375,0.054,0.74
12.5,0,0.05,1.0,0.14596,0.09018,0.05984,0.03152,0.01114,0.00783,0.19669,0.11979,0.07772,0.03925,0.01279,0.00854,1473.014,1471.979,1328.589,881.204,224.824,74.22,215.008,132.744,79.5,27.776,2.504,0.581,74.722,43.581,23.756,6.811,0.372,0.053,0.847
15.0,0,0.05,1.0,0.14762,0.09114,0.06045,0.03183,0.01125,0.00792,0.19842,0.12078,0.07834,0.03956,0.0129,0.00864,1453.647,1453.62,1312.871,871.403,222.358,73.396,214.581,132.488,79.363,27.735,2.501,0.581,73.845,43.076,23.488,6.737,0.367,0.053,0.935
17.5,0,0.05,1.0,0.14961,0.0923,0.06119,0.0322,0.01138,0.00801,0.2005,0.12197,0.07909,0.03993,0.01303,0.00873,1430.86,1432.013,1294.368,859.865,219.456,72.426,214.069,132.181,79.199,27.685,2.497,0.58,72.813,42.481,23.173,6.651,0.363,0.052,0.994
20.0,0,0.05,1.0,0.15197,0.09368,0.06206,0.03263,0.01153,0.00812,0.20296,0.12338,0.07997,0.04037,0.01318,0.00883,1404.702,1407.202,1273.118,846.612,216.121,71.311,213.468,131.82,79.005,27.626,2.492,0.579,71.627,41.797,22.812,6.551,0.357,0.051,1.073
22.5,0,0.05,1.0,0.15472,0.09527,0.06307,0.03314,0.01171,0.00825,0.20583,0.12502,0.081,0.04088,0.01336,0.00896,1375.23,1379.238,1249.163,831.668,212.362,70.055,212.772,131.402,78.781,27.558,2.487,0.578,70.291,41.027,22.403,6.438,0.351,0.05,1.141
25.0,0,0.05,1.0,0.1579,0.09711,0.06423,0.03372,0.01192,0.0084,0.20915,0.12691,0.08218,0.04146,0.01357,0.00912,1342.512,1348.182,1222.55,815.063,208.186,68.659,211.976,130.923,78.525,27.48,2.481,0.577,68.806,40.17,21.95,6.313,0.344,0.049,1.187
27.5,0,0.05,1.0,0.16154,0.09922,0.06556,0.03438,0.01215,0.00858,0.21295,0.12907,0.08354,0.04213,0.01381,0.0093,1306.619,1314.096,1193.332,796.829,203.599,67.126,211.072,130.38,78.233,27.392,2.474,0.576,67.176,39.23,21.452,6.176,0.337,0.048,1.249
30.0,0,0.05,1.0,0.16571,0.10161,0.06707,0.03512,0.01242,0.00877,0.2173,0.13153,0.08507,0.04288,0.01407,0.00949,1267.635,1277.055,1161.567,777.001,198.612,65.459,210.054,129.767,77.904,27.292,2.466,0.574,65.403,38.208,20.91,6.027,0.329,0.047,1.346
32.5,0,0.05,1.0,0.17045,0.10434,0.06878,0.03597,0.01272,0.00898,0.22225,0.13433,0.08681,0.04373,0.01437,0.00971,1225.65,1237.136,1127.321,755.616,193.234,63.662,208.91,129.079,77.535,27.179,2.457,0.572,63.493,37.105,20.326,5.866,0.32,0.046,1.446
35.0,0,0.05,1.0,0.17584,0.10742,0.07071,0.03692,0.01305,0.00923,0.22788,0.1375,0.08877,0.04469,0.01471,0.00995,1180.76,1194.427,1090.661,732.717,187.476,61.738,207.63,128.309,77.121,27.054,2.447,0.57,61.447,35.924,19.701,5.693,0.31,0.044,1.411
37.5,0,0.05,1.0,0.18198,0.11092,0.07289,0.038,0.01343,0.00952,0.23429,0.14109,0.09099,0.04577,0.01508,0.01024,1133.077,1149.02,1051.663,708.346,181.348,59.691,206.202,127.448,76.66,26.914,2.435,0.568,59.272,34.668,19.035,5.509,0.3,0.043,1.518
