sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
10.0,0,0.05,1.0,0.14066,0.08634,0.05849,0.03389,0.01066,0.00774,0.18981,0.11473,0.07603,0.04256,0.01217,0.00847,1482.723,1472.507,1317.188,924.718,193.307,72.058,208.556,127.139,77.038,31.339,2.061,0.558,72.885,41.804,23.11,8.021,0.292,0.052,0.912
12.5,0,0.05,1.0,0.14194,0.08709,0.05897,0.03416,0.01074,0.00782,0.19115,0.1155,0.07652,0.04284,0.01225,0.00853,1466.955,1457.622,1304.487,916.143,191.556,71.398,208.224,126.94,76.928,31.296,2.058,0.558,72.191,41.409,22.897,7.949,0.289,0.051,0.989
15.0,0,0.05,1.0,0.14354,0.08801,0.05957,0.03449,0.01085,0.00789,0.19282,0.11645,0.07714,0.04317,0.01236,0.00861,1447.752,1439.49,1289.016,905.699,189.423,70.595,207.814,126.694,76.793,31.242,2.056,0.557,71.345,40.929,22.639,7.861,0.286,0.051,1.083
17.5,0,0.05,1.0,0.14547,0.08913,0.0603,0.0349,0.01098,0.00798,0.19483,0.11759,0.07787,0.04358,0.01249,0.0087,1425.157,1418.149,1270.805,893.404,186.913,69.65,207.321,126.399,76.629,31.177,2.052,0.556,70.349,40.364,22.334,7.757,0.282,0.05,1.171
20.0,0,0.05,1.0,0.14776,0.09045,0.06116,0.03537,0.01113,0.00809,0.19722,0.11894,0.07874,0.04406,0.01264,0.00881,1399.219,1393.645,1249.891,879.285,184.03,68.564,206.742,126.052,76.438,31.101,2.048,0.555,69.205,39.714,21.984,7.638,0.278,0.049,1.297
22.5,0,0.05,1.0,0.15042,0.09198,0.06215,0.03592,0.0113,0.00823,0.19999,0.12052,0.07975,0.04461,0.01281,0.00894,1369.994,1366.027,1226.314,863.367,180.78,67.341,206.072,125.651,76.215,31.012,2.043,0.554,67.915,38.982,21.589,7.504,0.273,0.048,1.356
25.0,0,0.05,1.0,0.15349,0.09375,0.06329,0.03655,0.0115,0.00838,0.2032,0.12233,0.08092,0.04525,0.01302,0.00909,1337.549,1335.353,1200.124,845.685,177.169,65.981,205.306,125.191,75.961,30.912,2.038,0.553,66.482,38.168,21.151,7.354,0.268,0.047,1.408
27.5,0,0.05,1.0,0.15702,0.09577,0.0646,0.03727,0.01173,0.00856,0.20688,0.12441,0.08225,0.04598,0.01324,0.00927,1301.954,1301.687,1171.373,826.273,173.206,64.489,204.436,124.669,75.672,30.797,2.031,0.552,64.909,37.275,20.669,7.191,0.262,0.046,1.516
30.0,0,0.05,1.0,0.16105,0.09808,0.06609,0.03809,0.01198,0.00875,0.21108,0.12678,0.08376,0.0468,0.0135,0.00946,1263.292,1265.101,1140.119,805.169,168.897,62.866,203.456,124.08,75.346,30.667,2.024,0.55,63.199,36.304,20.146,7.013,0.256,0.045,1.587
32.5,0,0.05,1.0,0.16564,0.10069,0.06777,0.03901,0.01227,0.00897,0.21586,0.12946,0.08547,0.04773,0.01379,0.00969,1221.65,1225.672,1106.425,782.418,164.252,61.117,202.355,123.419,74.981,30.523,2.016,0.548,61.355,35.256,19.581,6.82,0.249,0.044,1.66
