sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
10.0,0,0.1,2.0,0.19788,0.13267,0.09473,0.05517,0.02152,0.0156,0.25412,0.16699,0.11668,0.06587,0.02437,0.01698,1405.068,1412.651,1282.269,862.219,223.488,73.203,278.028,187.415,121.467,47.568,4.81,1.142,79.027,48.477,28.152,9.227,0.637,0.101,0.766
12.5,0,0.1,2.0,0.19968,0.13381,0.09551,0.0556,0.0217,0.01572,0.25601,0.16816,0.11748,0.06631,0.02455,0.0171,1389.359,1397.709,1269.44,854.189,221.465,72.529,277.432,187.025,121.24,47.495,4.805,1.14,78.261,48.013,27.89,9.145,0.631,0.1,0.831
15.0,0,0.1,2.0,0.20193,0.13522,0.09647,0.05614,0.02191,0.01588,0.25837,0.16962,0.11846,0.06685,0.02476,0.01726,1370.234,1379.513,1253.813,844.406,219.001,71.708,276.695,186.543,120.959,47.404,4.798,1.139,77.327,47.447,27.571,9.045,0.624,0.099,0.928
17.5,0,0.1,2.0,0.20465,0.13693,0.09764,0.05678,0.02216,0.01607,0.26121,0.17138,0.11965,0.0675,0.02501,0.01746,1347.735,1358.1,1235.42,832.89,216.1,70.742,275.811,185.964,120.621,47.294,4.789,1.137,76.228,46.781,27.196,8.927,0.616,0.098,0.961
20.0,0,0.1,2.0,0.20786,0.13895,0.09901,0.05754,0.02247,0.0163,0.26457,0.17345,0.12105,0.06827,0.02532,0.01768,1321.916,1333.519,1214.3,819.663,212.768,69.632,274.775,185.286,120.225,47.166,4.78,1.135,74.966,46.016,26.764,8.791,0.607,0.096,1.026
22.5,0,0.1,2.0,0.21161,0.14129,0.1006,0.05842,0.02281,0.01657,0.2685,0.17587,0.12267,0.06916,0.02566,0.01796,1292.838,1305.822,1190.494,804.75,209.011,68.381,273.577,184.5,119.766,47.017,4.768,1.133,73.544,45.153,26.277,8.639,0.596,0.095,1.122
25.0,0,0.1,2.0,0.21594,0.14399,0.10244,0.05944,0.02321,0.01687,0.27303,0.17866,0.12454,0.07018,0.02607,0.01826,1260.57,1275.071,1164.054,788.18,204.837,66.991,272.209,183.603,119.241,46.847,4.755,1.13,71.963,44.195,25.736,8.469,0.585,0.093,1.179
27.5,0,0.1,2.0,0.22091,0.14709,0.10453,0.06059,0.02367,0.01722,0.27823,0.18184,0.12668,0.07135,0.02653,0.01861,1225.191,1241.333,1135.032,769.985,200.254,65.465,270.659,182.585,118.645,46.653,4.74,1.127,70.228,43.142,25.142,8.282,0.572,0.091,1.269
30.0,0,0.1,2.0,0.22659,0.15061,0.10691,0.0619,0.02419,0.01762,0.28418,0.18547,0.12911,0.07267,0.02704,0.019,1186.786,1204.686,1103.49,750.202,195.271,63.806,268.915,181.439,117.974,46.435,4.723,1.124,68.341,41.997,24.496,8.079,0.558,0.088,1.308
32.5,0,0.1,2.0,0.23306,0.15461,0.1096,0.06337,0.02477,0.01806,0.29095,0.18959,0.13186,0.07416,0.02763,0.01945,1145.452,1165.211,1069.495,728.869,189.897,62.017,266.963,180.154,117.221,46.19,4.703,1.12,66.307,40.762,23.799,7.861,0.543,0.086,1.363
